title, author, rating, format,
To Kill a Mockingbird,Harper Lee,4.26,Paperback,
Harry Potter and the Sorcerer's Stone (Harry Potter #1),J.K. Rowling,4.45,Hardcover,
1984,George Orwell,4.15,Paperback,
Pride and Prejudice,Jane Austen,4.25,Paperback,
The Diary of a Young Girl,Anne Frank,4.11,Mass Market Paperback,
Animal Farm,George Orwell,3.89,Paperback,
The Little Prince,Antoine de Saint-Exupéry,4.29,Paperback,
The Great Gatsby,F. Scott Fitzgerald,3.9,Paperback,
The Lord of the Rings (The Lord of the Rings #1-3),J.R.R. Tolkien,4.48,Paperback,
Jane Eyre,Charlotte Brontë,4.1,Paperback,
The Book Thief,Markus Zusak,4.36,Hardcover,
The Chronicles of Narnia (Chronicles of Narnia #1-7),C.S. Lewis,4.25,Paperback,
Romeo and Juliet,William Shakespeare,3.74,Mass Market Paperback,
Lord of the Flies,William Golding,3.65,Paperback,
Harry Potter and the Deathly Hallows (Harry Potter #7),J.K. Rowling,4.62,Hardcover,
The Kite Runner,Khaled Hosseini,4.27,Paperback,
The Giving Tree,Shel Silverstein,4.38,Hardcover,
The Giver (The Giver #1),Lois Lowry,4.12,Paperback,
The Catcher in the Rye,J.D. Salinger,3.8,Paperback,
Charlotte's Web,E.B. White,4.15,Paperback,
Green Eggs and Ham,Dr. Seuss,4.3,Hardcover,
Little Women (Little Women #1),Louisa May Alcott,4.05,Paperback,
Of Mice and Men,John Steinbeck,3.85,Paperback,
The Hobbit,J.R.R. Tolkien,4.25,Paperback,
Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,4.06,Mass Market Paperback,
The Hunger Games (The Hunger Games #1),Suzanne Collins,4.34,Hardcover,
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),J.K. Rowling,4.54,Mass Market Paperback,
Wuthering Heights,Emily Brontë,3.83,Paperback,
Gone with the Wind,Margaret Mitchell,4.28,Paperback,
Night (The Night Trilogy #1),Elie Wiesel,4.3,Paperback,
Tolkien on Fairy-stories,J.R.R. Tolkien,4.33,Hardcover,
Fahrenheit 451,Ray Bradbury,3.98,Mass Market Paperback,
Holy Bible: King James Version,Anonymous,4.43,Hardcover,
The Picture of Dorian Gray,Oscar Wilde,4.06,Paperback,
Harry Potter and the Goblet of Fire (Harry Potter #4),J.K. Rowling,4.53,Paperback,
The Adventures of Huckleberry Finn,Mark Twain,3.81,Paperback,
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),Douglas Adams,4.21,Paperback,
Hamlet,William Shakespeare,4.01,Paperback,
Les Misérables,Victor Hugo,4.15,Mass Market Paperback,
Brave New World / Brave New World Revisited,Aldous Huxley,4.16,Paperback,
The Alchemist,Paulo Coelho,3.83,Paperback,
Crime and Punishment,Fyodor Dostoyevsky,4.19,Paperback,
Harry Potter and the Half-Blood Prince (Harry Potter #6),J.K. Rowling,4.55,Paperback,
The Secret Garden,Frances Hodgson Burnett,4.12,Hardcover,
Memoirs of a Geisha,Arthur Golden,4.09,Mass Market Paperback,
The Lion the Witch and the Wardrobe (Chronicles of Narnia #1),C.S. Lewis,4.2,Paperback,
The Cat in the Hat,Dr. Seuss,4.15,Hardcover,
The Help,Kathryn Stockett,4.46,Hardcover,
The Odyssey,Homer,3.73,Paperback,
A Christmas Carol,Charles Dickens,4.03,Paperback,
The Color Purple,Alice Walker,4.18,Paperback,
The Outsiders,S.E. Hinton,4.07,Mass Market Paperback,
The Grapes of Wrath,John Steinbeck,3.93,Hardcover,
Where the Sidewalk Ends,Shel Silverstein,4.29,Hardcover,
Where the Wild Things Are,Maurice Sendak,4.22,Paperback,
One Hundred Years of Solitude,Gabriel García Márquez,4.05,Hardcover,
Ender's Game (Ender's Saga #1),Orson Scott Card,4.3,Mass Market Paperback,
A Thousand Splendid Suns,Khaled Hosseini,4.34,Hardcover,
The Adventures of Tom Sawyer,Mark Twain,3.9,Paperback,
Anne of Green Gables (Anne of Green Gables #1),L.M. Montgomery,4.23,Paperback,
A Tale of Two Cities,Charles Dickens,3.82,Paperback,
Life of Pi,Yann Martel,3.89,Paperback,
Oh The Places You'll Go!,Dr. Seuss,4.35,Hardcover,
The Count of Monte Cristo,Alexandre Dumas,4.22,Paperback,
One Flew Over the Cuckoo's Nest,Ken Kesey,4.19,Mass Market Paperback,
The Catcher in the Rye,J.D. Salinger,3.8,Paperback,
Anna Karenina,Leo Tolstoy,4.03,Paperback,
Winnie-the-Pooh (Winnie-the-Pooh #1),A.A. Milne,4.34,Hardcover,
Tuesdays with Morrie,Mitch Albom,4.07,Paperback,
Flowers for Algernon,Daniel Keyes,4.08,Paperback,
Catch-22 (Catch-22 #1),Joseph Heller,3.98,Paperback,
The Fellowship of the Ring (The Lord of the Rings #1),J.R.R. Tolkien,4.34,Paperback,
Slaughterhouse-Five,Kurt Vonnegut,4.06,Paperback,
The Old Man and the Sea,Ernest Hemingway,3.74,Hardcover,
Frankenstein,Mary Wollstonecraft Shelley,3.76,Paperback,
The Scarlet Letter,Nathaniel Hawthorne,3.38,Paperback,
The Handmaid's Tale,Margaret Atwood,4.08,Paperback,
Macbeth,William Shakespeare,3.89,Mass Market Paperback,
Twilight (Twilight #1),Stephenie Meyer,3.58,Paperback,
