title, author, rating, format
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,William H. McRaven,4.7,Hardcover
The Silent Wife: A gripping emotional page turner with a twist that will take your breath away,Kerry Fisher,4.1,Paperback
We Were the Lucky Ones: A Novel,Georgia Hunter,4.8,Paperback
The Hideaway,Lauren K. Denton,4.5,Paperback
Girl Last Seen: A gripping psychological thriller with a shocking twist,Nina Laurin,3.8,Paperback
Beneath a Scarlet Sky: A Novel,Mark Sullivan,4.8,Paperback
An American Outlaw (The Whicher Series Book 1),John Stonehouse,4.2,Kindle Edition
Rising Fury: A Jesse McDermitt Novel (Caribbean Adventure Series Book 12),Wayne Stinnett,4.8,Kindle Edition
Furiously Happy: A Funny Book About Horrible Things,Jenny Lawson,4.5,Paperback
The Boy on the Wooden Box: How the Impossible Became Possible . . . on Schindler's List,Leon Leyson and ,4.8,Paperback
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,Paperback
All the Ugly and Wonderful Things: A Novel,Bryn Greenwood,4.3,Paperback
The Life We Bury,Allen Eskens,4.4,Paperback
Unfu*k Yourself: Get Out of Your Head and into Your Life,Gary John Bishop,4.5,Hardcover
The Criminal Lawyer: (A Good Lawyer Novel),Thomas Benigno,4.3,Kindle Edition
Bluewater Stalker: The Sixth Novel in the Caribbean Mystery and Adventure Series (Bluewater Thrillers Book 6),Charles Dougherty,4.6,Kindle Edition
The President Is Missing,Bill Clinton and ,,Hardcover
Revelations (A Tanner Novel Book 20),Remington Kane,5,Kindle Edition
The Guardian,Nicholas Sparks,4.5,Mass Market Paperback
The Rooster Bar,John Grisham,3.7,Hardcover
Before We Were Yours: A Novel,Lisa Wingate,4.7,Hardcover
The Nightingale: A Novel,Kristin Hannah,4.8,Paperback
The Tibetan Book of Living and Dying: The Spiritual Classic & International Bestseller: 20th Anniversary Edition,Sogyal Rinpoche and ,4.7,Paperback
The Orphan's Tale: A Novel,Pam Jenoff,4.4,Paperback
THE GHOST CHRONICLES 2,Marlo Berliner,4.9,Kindle Edition
The Best Polish Restaurant in Buffalo,William Kowalski,4.4,Kindle Edition
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Dashka Slater,4.4,Hardcover
Fever 1793,Laurie Halse Anderson,4.5,Paperback
Origin: A Novel,Dan Brown,4.2,Hardcover
What Alice Forgot,Liane Moriarty,4.4,Paperback
All the Light We Cannot See: A Novel,Anthony Doerr,4.6,Paperback
The Wrong Side of Goodbye (A Harry Bosch Novel),Michael Connelly,4.7,Mass Market Paperback
The Fog Seller: The 4-time Gold Medal Mystery from the Creator of the Emmy® Winning Neverwinter Nights™,Don Daglow,,Kindle Edition
Scared Witchless (Bless Your Witch Book One),Amy Boyles,4.5,Kindle Edition
Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission,Hampton Sides,4.7,Paperback
When God Whispers Your Name (The Bestseller Collection),Max Lucado,4.8,Hardcover
Assholes: A Theory,Aaron James,3.5,Paperback
Ordinary Grace,William Kent Krueger,4.6,Paperback
I Am Watching You,Teresa Driscoll,4.5,Paperback
A Life Well Played: My Stories (Commemorative Edition),Arnold Palmer and ,4.7,Hardcover
The Relative Deception: You Can Never Trust Your Family,Jordi Essex,,Kindle Edition
Split Second (Split Second  Book 1),Douglas E. Richards,4.2,Kindle Edition
Tell Me Three Things,Julie Buxbaum,4.6,Paperback
The Accidental President: Harry S. Truman and the Four Months That Changed the World,A. J. Baime,4.7,Hardcover
Safe With Me: A psychological thriller so tense it will take your breath away,K.L. Slater,3.9,Paperback
Camino Island: A Novel,John Grisham,3.9,Mass Market Paperback
Four Perfect Pebbles: A True Story of the Holocaust,Lila Perl and ,4.7,Paperback
The Girl in the Ice: A gripping serial killer thriller (Detective Erika Foster crime thriller novel) (Volume 1),Robert Bryndza,4.4,Paperback
The Fallen (Memory Man series),David Baldacci,,Hardcover
Naked We Came,Robert Lane,4.1,Kindle Edition
Wish,Barbara O'Connor,4.9,Paperback
If You Knew Her: A Novel,Emily Elgar,4.7,Paperback
Wolves at the Door: The True Story Of America's Greatest Female Spy,Judith Pearson,4.6,Paperback
Girl in Pieces,Kathleen Glasgow,4.7,Hardcover
Now That You Mention It: A Novel,Kristan Higgins,4.7,Paperback
Quaker's War (The Long Fuse Book 1),Jason Born,4.2,Kindle Edition
Danzig: A Novel of Political Intrigue,William N. Walker,4.3,Kindle Edition
Her Last Day (Jessie Cole),T.R. Ragan,4.5,Paperback
The Secret Wife,Gill Paul,4.6,Paperback
The Book of Awesome,Neil Pasricha,4.6,Paperback
See Me,Nicholas Sparks,4.4,Mass Market Paperback
The Beach House,Mary Alice Monroe,4.6,Paperback
The Airport Book,Lisa Brown,4.9,Hardcover
The Forgotten Lands (Dylan Harper Book 1),Justin Warren,4.2,Kindle Edition
Spinning Jenny: A Novel,Sylvia McLain,4.3,Kindle Edition
The Longest Winter: The Battle of the Bulge and the Epic Story of WWII's Most Decorated Platoon,Alex Kershaw,4.5,Paperback
Redemption Road: A Novel,John Hart,4.3,Paperback
The Mannings: The Fall and Rise of a Football Family,Lars Anderson,4.4,Hardcover
The 100 Best Stocks to Buy in 2018,Peter Sander and ,4.5,Paperback
The Girl Who Sang to the Buffalo: A Child an Elder and the Light from an Ancient Sky,Kent Nerburn,4.8,Paperback
The Black Box (Harry Bosch),Michael Connelly,4.4,Mass Market Paperback
The Bend: A psychological thriller that will grip you to the final pages,Terri Tiffany,,Kindle Edition
BEWARE THE PAST a gripping crime thriller with a huge twist,JOY ELLIS,4.6,Kindle Edition
Walter the Farting Dog,William Kotzwinkle and ,4.6,Hardcover
Love Real Food: More Than 100 Feel-Good Vegetarian Favorites to Delight the Senses and Nourish the Body,Kathryne Taylor,4.8,Hardcover
The Glass Castle: A Memoir,Jeannette Walls,4.6,Paperback
Sisters Like Us (Mischief Bay),Susan Mallery,4.8,Paperback
The Pecan Man,Cassie Dandridge Selleck,4.5,Paperback
The Librarian of Auschwitz,Antonio Iturbe and ,4.5,Hardcover
"Fall from Grace: The Truth and Tragedy of ""Shoeless Joe"" Jackson",Tim Hornbaker,4.3,Paperback
Small Great Things: A Novel,Jodi Picoult,4.7,Paperback
The Best American Sports Writing 2017 (The Best American Series ®),Glenn Stout and ,4.4,Paperback
Boys in the Trees: A Memoir,Carly Simon,4,Paperback
Blood Work,Michael Connelly,4.5,Mass Market Paperback
Air Fry Everything: Foolproof Recipes for Fried Favorites and Easy Fresh Ideas by Blue Jean Chef Meredith Laurence (The Blue Jean Chef),Meredith Laurence,4.5,Paperback
The Storyteller,Jodi Picoult,4.6,Paperback
Darkest Hour: How Churchill Brought England Back from the Brink,Anthony McCarten,4.7,Hardcover
Disney Dreams Collection Thomas Kinkade Studios Coloring Book,Thomas Kinkade,4.7,Paperback
Noble Beginnings: A Jack Noble Thriller (Jack Noble #1),L.T. Ryan,4.1,Kindle Edition
Pandemic (The Extinction Files Book 1),Riddle Inc.,4.2,Kindle Edition
Trouble's Child,Terry Goodkind,,Kindle Edition
Sister Sister: A gripping psychological thriller,Sue Fortin,4.2,Paperback
The Silent Sister: A Novel,Diane Chamberlain,4.4,Paperback
180 Seconds,Jessica Park,4.6,Paperback
Flags of Our Fathers: A Young People's Edition,Michael French and ,4.6,Mass Market Paperback
Everything We Keep: A Novel (The Everything Series),Kerry Lonsdale,4.2,Paperback
The Deadly Caress: An Amanda Blake thriller. (Book 1.),O. N. Stefan,4.4,Kindle Edition
A Pilgrim for Freedom,Michael Novakovic and ,4.4,Kindle Edition
Tucker's Way (The Tucker Series),David Johnson,4.6,Paperback
The Lost City of the Monkey God: A True Story,Douglas Preston,4.4,Paperback
Unforgettable Steve McQueen,Henri Suzeau,4.3,Hardcover
The Forbidden Library,Django Wexler,4.3,Paperback
Cold Blood: A gripping serial killer thriller that will take your breath away (Detective Erika Foster) (Volume 5),Robert Bryndza,4.7,Paperback
After the Lie: A gripping novel about love loss and family secrets,Kerry Fisher,4.2,Paperback
Natural Disaster,Ginger Zee,4.6,Kindle Edition
Dr Stanton,T L Swan and ,4.6,Kindle Edition
The Angry Therapist: A No BS Guide to Finding and Living Your Own Truth,John Kim,5,Paperback
The Russian Assassin: A Max Austin Thriller Book #1,Jack Arbor,4.4,Kindle Edition
The House Next Door: A Ghost Story,Darcy Coates,4.5,Kindle Edition
I Am Fartacus (MAX),Mark Maciejewski,4.9,Paperback
The Ice Man: Confessions of a Mafia Contract Killer,Philip Carlo,4.4,Mass Market Paperback
The Fix (Memory Man series),David Baldacci,4.5,Mass Market Paperback
Unlocking Potential: 7 Coaching Skills That Transform Individuals Teams and Organizations,Michael K. Simpson and ,4.4,Paperback
Lights Camera GONE: An edge of your seat thriller-mystery (Detective Erin Bond Book 1),Bella Forrest,4.7,Kindle Edition
The Storm (A Berry Springs Novel),Amanda McKinney,4.5,Kindle Edition
The Girl from Everywhere,Heidi Heilig,4.3,Paperback
The Glass Forest: A Novel,Cynthia Swanson,4.5,Hardcover
The Man Without a Shadow: A Novel,Joyce Carol Oates,3.6,Paperback
Sugar Crush: How to Reduce Inflammation Reverse Nerve Damage and Reclaim Good Health,Dr. Richard Jacoby and ,4.6,Paperback
Zoo in the Sky: A Book of Animal Constellations,Jacqueline Mitton and ,,Paperback
Adult Coloring Books Good vibes: Don’t give up : Motivate your life with Brilliant designs and great calligraphy words to help melt stress away. (Volume 16),Cherina Kohey,4.5,Paperback
Shiftr: Swipe Left for Love Boxed Set (Books 1-5): BBW Bear Tiger Lion and Werewolf Paranormal Shifter Romances,Ariana Hawkes,,Kindle Edition
Drowning,Margaret McHeyzer and ,,Kindle Edition
The Shell Seekers,Rosamunde Pilcher,4.7,Paperback
Girl in the Blue Coat,Monica Hesse,4.4,Paperback
Humans of New York,Brandon Stanton,4.8,Hardcover
Styled: Secrets for Arranging Rooms from Tabletops to Bookshelves,Emily Henderson and ,4.4,Hardcover
Upstairs at the White House: My Life with the First Ladies,J. B. West and ,4.5,Paperback
The House on Foster Hill,Jaime Jo Wright,4.6,Paperback
Tapas Carrot Cake and a Corpse (A Charlotte Denver Cozy Mystery Culinary Cozy Mystery Book 1),Sherri Bryan,4.2,Kindle Edition
The Lazarus Succession: An Epic Historical Thriller,Ken Fry and ,4.7,Kindle Edition
The Best Land Under Heaven: The Donner Party in the Age of Manifest Destiny,Michael Wallis,4.6,Hardcover
99 Red Balloons: A chillingly clever psychological thriller with a stomach-flipping twist,Elisabeth Carpenter,4.1,Paperback
Running on Red Dog Road: And Other Perils of an Appalachian Childhood,Drema Hall Berkheimer,4.6,Paperback
Little Boy Lost,J. D. Trafford,4.2,Paperback
Licensed to Thrill 1: Hunt For Jack Reacher Series Thrillers Books 1-3 (Diane Capri’s Licensed to Thrill Sets),Diane Capri,,Kindle Edition
If I Live (If I Run Series),Terri Blackstock,4.9,Paperback
Battlefield Earth: Post-Apocalyptic Sci-Fi and New York Times Bestseller,L. Ron Hubbard,4.6,Paperback
The Self-Love Experiment: Fifteen Principles for Becoming More Kind Compassionate and Accepting of Yourself,Shannon Kaiser,4.5,Paperback
The Fog Seller: A San Francisco Mystery,Don Daglow,,Paperback
The Weeknight Dinner Cookbook: Simple Family-Friendly Recipes for Everyday Home Cooking,Mary Younkin,4.7,Paperback
Tangled Vines: Greed Murder Obsession and an Arsonist in the Vineyards of California,Frances Dinkelspiel,4.4,Paperback
The Couple Next Door: A Novel,Shari Lapena,4.1,Paperback
Dead Lawyer on Aisle 11 (Michael Gresham Series Book 7),Subjudica House Press,4.5,Kindle Edition
CARVER (An NCIS Special Agent Ruben Carver Novel Book 1),Jeffrey Seay,4,Kindle Edition
Rising Above: How 11 Athletes Overcame Challenges in Their Youth to Become Stars,Gregory Zuckerman and ,4.6,Paperback
Violet the Pilot,Steve Breen,4.7,Paperback
Obsession: The bestselling psychological thriller of 2017,Amanda Robson,3.4,Paperback
The Crusades: The Authoritative History of the War for the Holy Land,Thomas Asbridge,4.4,Paperback
The Buried Book,D. M. Pulley,4.2,Paperback
AlphaOops!: The Day Z Went First,Alethea Kontis and ,,Paperback
Plain Jane: A mystery/thriller not for the faint of heart (The Harbinger Murder Mystery Series Book 1),Carolyn McCray,3.8,Kindle Edition
First Case (Writers Retreat Southern Seashore Mystery Book 1),Kathi Daley,4.5,Kindle Edition
Here's the Reason God Made Me (Best of Li’l Buddies),Mikal Keefer and ,5,Board book
Learn To Draw Animals! (Easy Step-by-Step Drawing Guide) (Young Artist),Peter Pauper Press,4.8,Paperback
A Swear Word Coloring Book for Adults: Sweary AF: F*ckity F*ck F*ck F*ck: An Irreverent & Hilarious Antistress Sweary Adult Colouring Gift Featuring ... Mindful Meditation & Art Color Therapy),Honey Badger Coloring,4.5,Paperback
Hello World! Solar System,Jill McDonald,4.7,Board book
American Heart Association Quick & Easy Cookbook 2nd Edition: More Than 200 Healthy Recipes You Can Make in Minutes,American Heart Association,4.3,Hardcover
Quick & Easy Low-Carb Cookbook (Best of the Best Presents),George Stella and ,4.8,Perfect Paperback
The Diagnosis is Murder (A Dr. Valorian Mystery Book 1),Steven Gossington,4.1,Kindle Edition
From Afar,Frank Scozzari,4.7,Kindle Edition
Pretty Girls Dancing,Kylie Brant,4.5,Hardcover
Salt: A World History,Mark Kurlansky,4.2,Paperback
Soup of the Day (Rev Edition): 365 Recipes for Every Day of the Year,Kate McMillan,4.6,Hardcover
National Geographic Little Kids First Big Book of the World,Elizabeth Carney,4.7,Hardcover
The Book Club,Mary Alice Monroe,4.3,Paperback
Finger Prints: A Novel,Barbara Delinsky,4.2,Paperback
Face Of Our Father,G. Egore Pitir,4.5,Kindle Edition
Leap (Breakthrough Book 2),Michael C. Grumley,4.6,Kindle Edition
Yoga: The Top 100 Best Yoga Poses: Relieve Stress Increase Flexibility and Gain Strength (Yoga Postures Poses Exercises Techniques and Guide For Healing Stretching Strengthening and Stress Relief),Susan Hollister,4.5,Paperback
Tin Can Titans: The Heroic Men and Ships of World War II's Most Decorated Navy Destroyer Squadron,John Wukovits,4.5,Hardcover
Queen Hereafter: A Novel of Margaret of Scotland,Susan Fraser King,4.3,Paperback
The Finest Nines: The Best Nine-Hole Golf Courses in North America,Anthony Pioppi and ,5,Hardcover
The Wonderful Things You Will Be,Emily Winfield Martin,4.8,Hardcover
Goodnight Little Monster,Helen Ketteman and ,4.7,Hardcover
COMBAT MEDIC: A soldiers story of the Iraq war and PTSD,Samuel Murray BONEY IV and ,4.9,Kindle Edition
Pops's Rules: Seventeen Rules to Keep Your Tenants in Line and Your Head from Exploding,d. thompson,4.4,Kindle Edition
100 Photographs: The Most Influential Images of All Time,The Editors of TIME,4.4,Hardcover
The Girl in the Picture,Kerry Barrett,,Kindle Edition
Weird But True 9,National Geographic Kids,,Paperback
Forks Knives and Spoons: A Novel,Leah DeCesare,4.6,Paperback
Vanity Fair 100 Years: From the Jazz Age to Our Age,Graydon Carter,4.8,Hardcover
"Treated Like Family: How an Entrepreneur and His ""Employee Family"" Built Sargento a Billion-Dollar Cheese Company",Tom Faley,,Hardcover
Too Long the Winter: A Western Frontier Adventure,Robert Peecher,4.8,Kindle Edition
Say My Name: A Novel,Allegra Huston,,Hardcover
The Alienist (TNT Tie-in Edition): A Novel,Caleb Carr,4.4,Paperback
The One,John Marrs,4.4,Hardcover
Adult Coloring Book: Island Dreams: Vacation Summer and Beach: Dream and Relax with Gorgeous Illustrations,Julia Rivers and ,4.2,Paperback
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,Paperback
The One and Only Ivan,Katherine Applegate and ,4.8,Paperback
Moon Mourning (Samantha Moon Origins Book 2),J.R. Rain and ,4.4,Kindle Edition
Wind Catcher (A Chosen Novel Book 1),Jeff Altabef and ,4.5,Kindle Edition
Start Again: A Contemporary Romance Novel (Start Again Series #1),J. Saman,4.6,Kindle Edition
EIGHT: Terror Has A New Species,WW Mortensen,,Kindle Edition
Dead Girls Don't Lie,Jennifer Shaw Wolf,4.3,Paperback
The Great Alone: A Novel,Kristin Hannah,4.6,Hardcover
Coloring Books for Adults Relaxation: Adult Coloring Books: Flowers Animals and Garden Designs,Coloring Books for Adults Relaxation and ,4.4,Paperback
Detached: A Thriller Novel,Wendy Weiss,4.7,Kindle Edition
Into the Funhouse,Walter Harp,5,Kindle Edition
The Rock the Road and the Rabbi: My Journey into the Heart of Scriptural Faith and the Land Where It All Began,Kathie Lee Gifford and ,4.2,Hardcover
The House by the River,Lena Manta and ,4.3,Paperback
Lilac Girls: A Novel,Martha Hall Kelly,4.6,Paperback
The Betrayal: The Top Ten Bestseller,Kate Furnivall,4.4,Paperback
The Electric Pressure Cooker Cookbook: 200 Fast and Foolproof Recipes for Every Brand of Electric Pressure Cooker,Barbara Schieving,4.8,Paperback
The Winter Sea,Susanna Kearsley,4.5,Paperback
Glass Lands,John Ryan,4.8,Kindle Edition
The Trials of Sarah Newby: Books 1-3,Tim Vicary,,Kindle Edition
Everywhere I Go God Is With Me (Best of Li’l Buddies),Mikal Keefer and ,4.8,Board book
Adult Coloring Book: Butterflies and Flowers : Stress Relieving Patterns (Volume 7),Cherina Kohey,4.5,Paperback
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,Paperback
Little Green Frog: Lift-a-Flap Board Book (Babies Love),Ginger Swift and ,4.8,Board book
Ultimate Coloring Book Treasury: Relax Recharge and Refresh Yourself (Design Originals) 208 Pages of Beautiful One-Side-Only Designs on Extra-Thick Perforated Paper in a Spiral Lay-Flat Binding,Valentina Harper and ,4.5,Spiral-bound
Men in Green,Michael Bamberger,4.3,Paperback
Spell Hath No Fury: A Lexi Balefire Matchmaking Witch Mystery (Fate Weaver Book 5),ReGina Welling and ,4.7,Kindle Edition
The Tell All (Locust Point Mystery Book 1),Libby Howard,4.5,Kindle Edition
Strangers: The unforgettable crime thriller from the #1 bestseller,Paul Finch,4.1,Paperback
A Great and Terrible King: Edward I and the Forging of Britain,Marc Morris,4.4,Paperback
Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers Animals and Paisley Patterns,Coloring Books for Adults,4.5,Paperback
Go! Go! Go! Stop!,Charise Mericle Harper,4.8,Board book
The Running Man: A Novel,Stephen King,4.3,Mass Market Paperback
