,Unnamed: 0,_id,ltable_ID,rtable_ID,ltable_title,ltable_author,rtable_title,rtable_author,label
142,142,142,a1611,b2767,The Peacegiver: How Christ Offers to Heal Our Hearts and Homes,James L. Ferrell,The Common Core Mathematics Companion: The Standards Decoded High School: What They Say What They Mean How to Teach Them (Corwin Mathematics Series),Frederick L. Dillon and ,0
188,188,188,a1983,b1383,Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live Love Parent and Lead,Brené Brown,Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone,Brené Brown,0
127,127,127,a15,b2020,Harry Potter and the Deathly Hallows (Harry Potter #7),J.K. Rowling,Harry Potter And The Order Of The Phoenix,J.K. Rowling and ,0
46,46,46,a1181,b1907,Diary of a Wimpy Kid (Diary of a Wimpy Kid #1),Jeff Kinney,Diary of a Wimpy Kid #11: Double Down,Jeff Kinney,1
327,327,327,a2714,b495,Eye of the Needle,Ken Follett,La isla de las tormentas / Eye of the Needle (Best Seller) (Spanish Edition),Ken Follett,1
191,191,191,a1983,b364,Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live Love Parent and Lead,Brené Brown,The Seven Money Types: Discover How God Wired You To Handle Money,Tommy Brown,0
378,378,378,a370,b1477,Harry Potter and the Order of the Phoenix (Harry Potter #5),J.K. Rowling,Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter Book 2),J.K. Rowling and ,0
175,175,175,a1885,b1015,Anne of the Island (Anne of Green Gables #3),L.M. Montgomery,Anne of Green Gables: illustrated - first published in 1908 (1st. Page Classics),Lucy Maud Montgomery,1
521,521,521,a794,b1812,The Battle of the Labyrinth (Percy Jackson and the Olympians #4),Rick Riordan,Magnus Chase and the Gods of Asgard Book 3 The Ship of the Dead,Rick Riordan,0
278,278,278,a241,b2310,The Story of My Life,Helen Keller,The Story of Our Lives: A Novel,Helen Warner,1
452,452,452,a51,b2974,The Color Purple,Alice Walker,The Color Purple,Alice Walker,1
506,506,506,a708,b2961,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,1
417,417,417,a433,b118,A Portrait of the Artist as a Young Man,James Joyce,The Man Without a Shadow: A Novel,Joyce Carol Oates,0
293,293,293,a2474,b2772,The Wishing Spell (The Land of Stories #1),Chris Colfer,The Land of Stories: Worlds Collide,Chris Colfer,0
373,373,373,a359,b1852,Hatchet,Gary Paulsen,Hatchet,Gary Paulsen,1
461,461,461,a518,b583,The Road Less Traveled: A New Psychology of Love Traditional Values and Spiritual Growth,M. Scott Peck,Behave: The Biology of Humans at Our Best and Worst,Robert M. Sapolsky,0
98,98,98,a1397,b149,The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,The Crusades: The Authoritative History of the War for the Holy Land,Thomas Asbridge,0
560,560,560,a974,b1012,The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror,Robert Louis Stevenson,The Million Dollar Decision: Get Out of the Rigged Game of Investing and Add a Million to Your Net Worth,Robert Rolih,0
19,19,19,a107,b1648,A Wrinkle in Time (A Wrinkle in Time Quintet #1),Madeleine L'Engle,Wrinkle in Time / Wind in the Door / Swiftly Tiltling Planet,Madeleine L'Engle,1
432,432,432,a470,b1406,The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,Medical Medium Life-Changing Foods: Save Yourself and the Ones You Love with the Hidden Healing Powers of Fruits & Vegetables,Anthony William,0
547,547,547,a959,b1811,The Elegant Universe: Superstrings Hidden Dimensions and the Quest for the Ultimate Theory,Brian Greene,The Explosive Child: A New Approach for Understanding and Parenting Easily Frustrated Chronically Inflexible Children,Ross W. Greene PhD,0
259,259,259,a23,b171,Of Mice and Men,John Steinbeck,Tin Can Titans: The Heroic Men and Ships of World War II's Most Decorated Navy Destroyer Squadron,John Wukovits,0
70,70,70,a1250,b1723,The Artist's Way,Julia Cameron,The Artist's Way: 25th Anniversary Edition,Julia Cameron,1
157,157,157,a1744,b1990,The Power of Praying for Your Adult Children,Stormie Omartian,The Power of a Praying® Wife,Stormie Omartian,1
498,498,498,a624,b2828,The Time Trilogy (A Wrinkle in Time Quintet #1-3),Madeleine L'Engle,A Wrinkle in Time (A Wrinkle in Time Quintet Book 1),Madeleine L'Engle,1
107,107,107,a142,b1851,Animal Farm / 1984,George Orwell,Animal Farm: 1984,George Orwell and ,1
435,435,435,a470,b229,The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,The New York Times Book of the Dead: 320 Print and 10000 Digital Obituaries of Extraordinary People,William McDonald,0
222,222,222,a21,b1418,Green Eggs and Ham,Dr. Seuss,Green Eggs and Ham,Dr. Seuss,1
345,345,345,a2948,b1988,The China Study: The Most Comprehensive Study of Nutrition Ever Conducted and the Startling Implications for Diet Weight Loss and Long-term Health,T. Colin Campbell,The China Study: Revised and Expanded Edition: The Most Comprehensive Study of Nutrition Ever Conducted and the Startling Implications for Diet Weight Loss and Long-Term Health,T. Colin Campbell and ,1
268,268,268,a2328,b302,Fear and Loathing in America: The Brutal Odyssey of an Outlaw Journalist 1968-1976,Hunter S. Thompson,Cabal of The Westford Knight: Templars at the Newport Tower (Book #1 in the Templars in America Series),David S. Brody,0
445,445,445,a493,b1662,Outliers: The Story of Success,Malcolm Gladwell,Outliers: The Story of Success,Malcolm Gladwell,1
165,165,165,a182,b1751,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,The Hobbit and the Lord of the Rings (the Hobbit / the Fellowship of the Ring / the Two Towers / the,J.R.R. Tolkien,1
534,534,534,a849,b611,The Myth of Sisyphus and Other Essays,Albert Camus,For the Sins of My Father: A Mafia Killer His Son and the Legacy of a Mob Life,Albert DeMeo,0
97,97,97,a1397,b1052,The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,Beyond Anger: A Guide for Men: How to Free Yourself from the Grip of Anger and Get More Out of Life,Thomas J. Harbin,0
325,325,325,a27,b2997,Harry Potter and the Prisoner of Azkaban (Harry Potter #3),J.K. Rowling,Harry Potter and the Half-Blood Prince (Book 6),J.K. Rowling,0
203,203,203,a2,b1933,Harry Potter and the Sorcerer's Stone (Harry Potter #1),J.K. Rowling,Harry Potter and the Prisoner of Azkaban,J.K. Rowling and ,0
493,493,493,a624,b1525,The Time Trilogy (A Wrinkle in Time Quintet #1-3),Madeleine L'Engle,A Wrinkle in Time: The Graphic Novel,Madeleine L'Engle and ,1
109,109,109,a1434,b2961,The Portrait of a Lady,Henry James,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,0
535,535,535,a850,b2647,Plague of Angels (The Descended #1),John Patrick Kennedy,Shadows of the Stone Benders (The Anlon Cully Chronicles) (Volume 1),K Patrick Donoghue,0
323,323,323,a27,b2020,Harry Potter and the Prisoner of Azkaban (Harry Potter #3),J.K. Rowling,Harry Potter And The Order Of The Phoenix,J.K. Rowling and ,0
437,437,437,a473,b1191,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,1
428,428,428,a46,b2980,The Lion the Witch and the Wardrobe (Chronicles of Narnia #1),C.S. Lewis,"The Lion, the Witch and the Wardrobe (The Chronicles of Narnia)", C. S. Lewis,1
464,464,464,a533,b1630,A Storm of Swords (A Song of Ice and Fire #3),George R.R. Martin,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,1
365,365,365,a35,b1679,Harry Potter and the Goblet of Fire (Harry Potter #4),J.K. Rowling,Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter Book 1),J.K. Rowling and ,0
38,38,38,a114,b1860,Brave New World,Aldous Huxley,Brave New World,Aldous Huxley,1
2,2,2,a1003,b1012,Mrs. Frisby and the Rats of NIMH (Rats of NIMH #1),Robert C. O'Brien,The Million Dollar Decision: Get Out of the Rigged Game of Investing and Add a Million to Your Net Worth,Robert Rolih,0
152,152,152,a1731,b32,The Lincoln Lawyer (Mickey Haller #1; Harry Bosch Universe #17),Michael Connelly,The Wrong Side of Goodbye (A Harry Bosch Novel),Michael Connelly,0
246,246,246,a2240,b467,Battlefield Earth: A Saga of the Year 3000,L. Ron Hubbard,Workin' Our Way Home: The Incredible True Story of a Homeless Ex-Con and a Grieving Millionaire Thrown Together to Save Each Other,Ron Hall,0
245,245,245,a2240,b463,Battlefield Earth: A Saga of the Year 3000,L. Ron Hubbard,The Darkest Night: Two Sisters a Brutal Murder and the Loss of Innocence in a Small Town,Ron Franscell,0
287,287,287,a2457,b1271,Way to Be!: 9 Rules For Living the Good Life,Gordon B. Hinckley,The Energy Bus: 10 Rules to Fuel Your Life Work and Team with Positive Energy,Jon Gordon and ,0
283,283,283,a2431,b1639,The Lost City of Z: A Tale of Deadly Obsession in the Amazon,David Grann,The Way of the Superior Man: A Spiritual Guide to Mastering the Challenges of Women Work and Sexual Desire (20th Anniversary Edition),David Deida,0
