ID,title,author,rating,format
b1,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,William H. McRaven,4.7,Hardcover
b2,The Silent Wife: A gripping emotional page turner with a twist that will take your breath away,Kerry Fisher,4.1,Paperback
b3,We Were the Lucky Ones: A Novel,Georgia Hunter,4.8,Paperback
b4,The Hideaway,Lauren K. Denton,4.5,Paperback
b5,Girl Last Seen: A gripping psychological thriller with a shocking twist,Nina Laurin,3.8,Paperback
b6,Beneath a Scarlet Sky: A Novel,Mark Sullivan,4.8,Paperback
b7,An American Outlaw (The Whicher Series Book 1),John Stonehouse,4.2,Kindle Edition
b8,Rising Fury: A Jesse McDermitt Novel (Caribbean Adventure Series Book 12),Wayne Stinnett,4.8,Kindle Edition
b9,Furiously Happy: A Funny Book About Horrible Things,Jenny Lawson,4.5,Paperback
b10,The Boy on the Wooden Box: How the Impossible Became Possible . . . on Schindler's List,Leon Leyson and ,4.8,Paperback
b11,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,Paperback
b12,All the Ugly and Wonderful Things: A Novel,Bryn Greenwood,4.3,Paperback
b13,The Life We Bury,Allen Eskens,4.4,Paperback
b14,Unfu*k Yourself: Get Out of Your Head and into Your Life,Gary John Bishop,4.5,Hardcover
b15,The Criminal Lawyer: (A Good Lawyer Novel),Thomas Benigno,4.3,Kindle Edition
b16,Bluewater Stalker: The Sixth Novel in the Caribbean Mystery and Adventure Series (Bluewater Thrillers Book 6),Charles Dougherty,4.6,Kindle Edition
b17,The President Is Missing,Bill Clinton and ,,Hardcover
b18,Revelations (A Tanner Novel Book 20),Remington Kane,5,Kindle Edition
b19,The Guardian,Nicholas Sparks,4.5,Mass Market Paperback
b20,The Rooster Bar,John Grisham,3.7,Hardcover
b21,Before We Were Yours: A Novel,Lisa Wingate,4.7,Hardcover
b22,The Nightingale: A Novel,Kristin Hannah,4.8,Paperback
b23,The Tibetan Book of Living and Dying: The Spiritual Classic & International Bestseller: 20th Anniversary Edition,Sogyal Rinpoche and ,4.7,Paperback
b24,The Orphan's Tale: A Novel,Pam Jenoff,4.4,Paperback
b25,THE GHOST CHRONICLES 2,Marlo Berliner,4.9,Kindle Edition
b26,The Best Polish Restaurant in Buffalo,William Kowalski,4.4,Kindle Edition
b27,The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Dashka Slater,4.4,Hardcover
b28,Fever 1793,Laurie Halse Anderson,4.5,Paperback
b29,Origin: A Novel,Dan Brown,4.2,Hardcover
b30,What Alice Forgot,Liane Moriarty,4.4,Paperback
b31,All the Light We Cannot See: A Novel,Anthony Doerr,4.6,Paperback
b32,The Wrong Side of Goodbye (A Harry Bosch Novel),Michael Connelly,4.7,Mass Market Paperback
b33,The Fog Seller: The 4-time Gold Medal Mystery from the Creator of the Emmy® Winning Neverwinter Nights™,Don Daglow,,Kindle Edition
b34,Scared Witchless (Bless Your Witch Book One),Amy Boyles,4.5,Kindle Edition
b35,Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission,Hampton Sides,4.7,Paperback
b36,When God Whispers Your Name (The Bestseller Collection),Max Lucado,4.8,Hardcover
b37,Assholes: A Theory,Aaron James,3.5,Paperback
b38,Ordinary Grace,William Kent Krueger,4.6,Paperback
b39,I Am Watching You,Teresa Driscoll,4.5,Paperback
b40,A Life Well Played: My Stories (Commemorative Edition),Arnold Palmer and ,4.7,Hardcover
