title,author,rating,format,year
To Kill a Mockingbird,Harper Lee,4.48,Paperback,2006
Jane Eyre,Charlotte Brontë,4.25,Paperback,2003
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,4.36,Hardcover,2007
The Very Hungry Caterpillar,Eric Carle,4.45,Board book,1994
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.52,Paperback,2014
A Wrinkle in Time Movie Tie-In Edition (A Wrinkle in Time Quintet),Madeleine L'Engle,4.27,Paperback,2017
A Wrinkle in Time (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.27,Paperback,2017
The Wrinkle in Time Quintet Boxed Set (A Wrinkle in Time A Wind in the Door A Swiftly Tilting Planet Many Waters An Acceptable Time),Madeleine L'Engle,4.37,Paperback,2017
A Wrinkle in Time (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.22,Paperback,2017
Wrinkle in Time / Wind in the Door / Swiftly Tiltling Planet,Madeleine L'Engle,4.27,Paperback,2017
A Wrinkle in Time (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.12,Paperback,2017
A Wrinkle in Time: 50th Anniversary Commemorative Edition (A Wrinkle in Time Quintet),Madeleine L'Engle,4.27,Paperback,2017
A Swiftly Tilting Planet (A Wrinkle in Time Quintet),Madeleine L'Engle,4.27,Paperback,2017
A Wrinkle in Time (A Wrinkle in Time Quintet Book 1),Madeleine L'Engle,4.27,Paperback,2017
A Man Called Ove: A Novel,Fredrik Backman,4.47,Hardcover,2014
The Fault in Our Stars,John Green,4.47,Hardcover,2012
The Book Thief,Markus Zusak,4.48,Hardcover,2006
The Perks of Being a Wallflower,Stephen Chbosky,4.4,Paperback,1999
The Stranger Beside Me: Ted Bundy The Shocking Inside Story,Ann Rule,4.31,Paperback,2001
Magnus Chase and the Gods of Asgard Book 3 The Ship of the Dead,Rick Riordan,4.53,Hardcover,2017
Harry Potter Paperback Box Set (Books 1-7),J.K. Rowling,4.72,Hardcover,2007
The Case for Christ: A Journalist's Personal Investigation of the Evidence for Jesus (Case for ... Series),Lee Strobel,4.41,Paperback,1998
Thinking Fast and Slow,Daniel Kahneman,4.3,Hardcover,2011
Brave New World,Aldous Huxley,4.08,Paperback,1998
Americanah,Chimamanda Ngozi Adichie,4.38,Hardcover,2013
Emotional Intelligence 2.0: With Access Code,Travis Bradberry,4.06,Hardcover,2009
The Gulag Archipelago Abridged: An Experiment in Literary Investigation (P.S.),Aleksandr Solzhenitsyn,4.18,Paperback,2005
Where the Red Fern Grows,Wilson Rawls,4.38,Mass Market Paperback,2000
Diary of a Wimpy Kid (Diary of a Wimpy Kid #1),Jeff Kinney,4.38,Hardcover,2007
Diary of a Wimpy Kid (Diary of a Wimpy Kid #1),Jeff Kinney,4.38,Hardcover,2007
Diary of a Wimpy Kid (Diary of a Wimpy Kid #1),Jeff Kinney,4.33,Hardcover,2007
The Son of Neptune (The Heroes of Olympus #2),Rick Riordan,4.62,Hardcover,2011
The Lion the Witch and the Wardrobe (The Chronicles of Narnia),C.S. Lewis,4.47,Paperback,2005
The Hero with a Thousand Faces (The Collected Works of Joseph Campbell),Joseph Campbell,4.27,Paperback,1988
The Power of a Praying® Wife,Stormie Omartian,4.55,Paperback,2014
On the Banks of Plum Creek  (Little House #4),Laura Ingalls Wilder,4.45,Paperback,2007
The House of Hades (The Heroes of Olympus #4),Rick Riordan,4.67,Hardcover,2013
The One and Only Ivan,Katherine Applegate,4.53,Hardcover,2012
The Long Winter (Little House #6),Laura Ingalls Wilder,4.43,Hardcover,1961
Catching Fire (The Hunger Games #2),Suzanne Collins,4.45,Hardcover,2009
The Artist's Way: 25th Anniversary Edition,Julia Cameron,4.25,Paperback,2002
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.27,Hardcover,2012
Think and Grow Rich: The Original an Official Publication of The Napoleon Hill Foundation,Napoleon Hill,4.17,Paperback,2016
Think and Grow Rich,Napoleon Hill,4.33,Paperback,2016
The Blood of Olympus (The Heroes of Olympus #5),Rick Riordan,4.61,Hardcover,2010
Romeo and Juliet (No Fear Shakespeare),William Shakespeare,4.12,Mass Market Paperback,2004
Man's Search for Meaning,Viktor E. Frankl,4.52,Paperback,2006
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R.R. Martin,4.58,Mass Market Paperback,2005
Anne of Green Gables: illustrated - first published in 1908 (1st. Page Classics),L.M. Montgomery,4.43,Paperback,1908
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.03,Paperback,2012
Darker: Fifty Shades Darker as Told by Christian (Fifty Shades of Grey),E L James,4.28,Paperback,2011
The Hobbit and the Lord of the Rings (the Hobbit / the Fellowship of the Ring / the Two Towers / the,J.R.R. Tolkien,4.61,Mass Market Paperback,2005
Lord of the Flies,William Golding,3.98,Paperback,1999
Out of My Mind,Sharon M. Draper,4.58,Hardcover,2010
The Lion the Witch and the Wardrobe (The Chronicles of Narnia),C.S. Lewis,4.37,Paperback,2005
Warriors Box Set: Volumes 1 to 6: The Complete First Series (Warriors: The Prophecies Begin),Erin Hunter,4.6,Paperback,2007
Warriors: The New Prophecy Box Set: Volumes 1 to 6: The Complete Second Series,Erin Hunter,4.54,Paperback,2007
Animal Farm / 1984,George Orwell,4.38,Hardcover,1950
Love You Forever,Robert Munsch,4.57,Paperback,1995
When Things Fall Apart: Heart Advice for Difficult Times,Pema Chödrön,4.45,Paperback,2000
The Power of a Praying Woman,Stormie Omartian,4.59,Paperback,2014
Fall of Giants: Book One of the Century Trilogy,Ken Follett,4.4,Hardcover,2010
Harry Potter and the Deathly Hallows (Harry Potter #7),J.K. Rowling,4.66,Hardcover,2007
The Hobbit and the Lord of the Rings (the Hobbit / the Fellowship of the Ring / the Two Towers / the,J.R.R. Tolkien,4.56,Paperback,2012
A Dog's Purpose (A Dog's Purpose #1),W. Bruce Cameron,4.57,Hardcover,2010
Little Town on the Prairie  (Little House #7),Laura Ingalls Wilder,4.44,Paperback,2007
Dr. Seuss's Beginner Book Collection (Cat in the Hat One Fish Two Fish Green Eggs and Ham Hop on Pop Fox in Socks),Seuss,4.51,Hardcover,2009
One Fish Two Fish Red Fish Blue Fish (I Can Read It All by Myself),Dr. Seuss,4.46,Hardcover,2003
The Kite Runner,Khaled Hosseini,4.48,Paperback,2004
The Boy in the Striped Pajamas,John Boyne,4.36,Hardcover,2006
Fever 1793,Laurie Halse Anderson,4.2,Paperback,2000
Anne of Green Gables: illustrated - first published in 1908 (1st. Page Classics),L.M. Montgomery,4.21,Paperback,1908
